199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,94.94433323742167
245,95.14453818809145
246,96.10203666639424
247,95.53794569052054
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,97.22251318016026
320,96.3162575570744
321,97.00019595068902
322,97.61708156061596
323,98.5258702888634
324,98.77724372459936
325,98.30377656867113
326,98.46015856084944
327,98.61102732414682
328,99.10386528425148
329,98.81188766283802
330,98.94264059102908
331,100.54110445105115
332,99.59215855568404
333,98.81702837625411
334,98.61870114272442
335,99.75315973962758
336,98.03265981329386
337,94.594565581253
338,90.72316136040348
339,87.2550423818891
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,85.99610535784026
347,85.67075228431334
348,85.45915586158141
349,86.20181781587591
350,87.35137855955229
351,86.60962183059566
352,86.99207953585454
353,87.05280506893799
354,90.00119942989299
355,92.15752162019352
356,92.6022135674323
357,92.32363046969644
358,92.98436953091188
359,93.16639525927272
360,93.13380714710868
361,96.00216450110509
362,92.7484828949465
363,93.98132436970889
364,94.546939335001
365,94.1734584476762
366,91.71335772106846
367,92.39061714470046
368,93.91049048701896
369,95.09973027467292
370,94.08338852655604
371,94.9554222687242
372,96.88498551188307
373,95.4311936192306
374,97.13543118869951
375,97.1956286736692
376,97.67487005463758
377,97.09213124337045
378,97.34574520886945
379,96.56664793472488
380,103.94938907462044
381,104.36736121570704
382,104.13860619254478
383,104.45035943741674
384,103.2840696811229
385,0.0
386,0.0
387,103.00438507740832
388,106.5620321946223
389,109.27030644691416
390,107.64635825271124
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,106.8622739203056
401,0.0
402,0.0
403,106.09081915260204
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,102.35838714001196
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,102.03660461745586
419,102.35813919480758
420,0.0
421,0.0
422,0.0
423,101.54878522794858
424,100.52062151060196
425,101.84522140501262
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,101.03733072204388
432,100.70037254907535
433,0.0
434,97.82342485009232
435,0.0
436,96.4269190294343
437,95.24592316906798
438,96.01387329775746
439,0.0
440,94.25163812081104
441,0.0
442,93.21889346010164
443,88.9472629492514
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.0
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,98.97039183829594
694,93.40630501652396
695,58.02286006387948
696,0.0
697,0.0
698,50.6527582242529
699,43.51078427320247
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,49.11603041783214
707,0.0
708,0.0
709,45.52939926697135
710,37.69946717934855
711,28.166636830925487
712,0.0
713,13.805802081558497
714,59.5296362091409
715,62.28687695846104
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,56.312585937669226
723,69.52218711070716
724,52.00163907022666
725,0.0
726,0.0
727,0.0
728,48.89477466464869
729,55.490332208536735
730,55.996555463832784
731,68.53136366638543
732,66.10548249983097
733,76.72769555018061
734,82.81226247641027
735,82.9704682792513
736,85.10960142815647
737,80.63940465301567
738,77.88492862140859
739,0.0
740,0.0
741,78.70836162133027
742,79.82218702664038
743,81.92116190743447
744,84.10586610198533
745,80.70505143179136
746,74.842346583179
747,69.81939560526621
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,66.38558206765184
754,0.0
755,0.0
756,0.0
757,0.0
758,65.72338588652701
